[09:45:49]===============================================================
[09:45:49]     START MEASURE :: 아이스 아메리카노
[09:47:42]  START OUTLET         : 0.08 sec
[09:47:42]  START OUTLET         : 0.13 sec
[09:47:42]  START OUTLET         : 0.07 sec
[09:47:42]  START OUTLET         : 0.14 sec
[09:47:43]  START OUTLET         : 0.06 sec
[09:47:43]  START OUTLET         : 0.13 sec
[09:47:43]  START OUTLET         : 0.07 sec
[09:47:43]  START OUTLET         : 0.13 sec
[09:47:43]  START OUTLET         : 0.07 sec
[09:47:43]  START OUTLET         : 0.14 sec
[09:47:43]  START OUTLET         : 0.07 sec
[09:47:43]  START OUTLET         : 0.13 sec
[09:47:43]  START OUTLET         : 0.07 sec
[09:47:43]  START OUTLET         : 0.13 sec
[09:47:44]  START OUTLET         : 0.06 sec
[09:47:44]  START OUTLET         : 0.14 sec
[09:47:44]  START OUTLET         : 0.06 sec
[09:47:44]  START OUTLET         : 0.14 sec
[09:47:44]  START OUTLET         : 0.06 sec
[09:47:44]  START OUTLET         : 0.12 sec
[09:47:44]  START OUTLET         : 0.08 sec
[09:47:44]  START OUTLET         : 0.12 sec
[09:47:44]  START OUTLET         : 0.08 sec
[09:47:44]  START OUTLET         : 0.13 sec
[09:47:45]  START OUTLET         : 0.07 sec
[09:47:45]  START OUTLET         : 0.13 sec
[09:47:45]  START OUTLET         : 0.07 sec
[09:47:45]  START OUTLET         : 0.14 sec
[09:47:45]  START OUTLET         : 0.06 sec
[09:47:45]  START OUTLET         : 0.13 sec
[09:47:45]  START OUTLET         : 0.07 sec
[09:47:45]  START OUTLET         : 0.13 sec
[09:47:45]  START OUTLET         : 0.08 sec
[09:47:45]  START OUTLET         : 0.12 sec
[09:47:46]  START OUTLET         : 0.08 sec
[09:47:46]  START OUTLET         : 0.13 sec
[09:47:46]  START OUTLET         : 0.07 sec
[09:47:46]  START OUTLET         : 0.14 sec
[09:47:46]  START OUTLET         : 0.06 sec
[09:47:46]  START OUTLET         : 0.14 sec
[09:47:46]  START OUTLET         : 0.07 sec
[09:47:46]  START OUTLET         : 0.14 sec
[09:47:46]  START OUTLET         : 0.06 sec
[09:47:46]  START OUTLET         : 0.14 sec
[09:47:47]  START OUTLET         : 0.06 sec
[09:47:47]  START OUTLET         : 0.13 sec
[09:47:47]  START OUTLET         : 0.07 sec
[09:47:47]  START OUTLET         : 0.13 sec
[09:47:47]  START OUTLET         : 0.07 sec
[09:47:47]  START OUTLET         : 0.13 sec
[09:47:47]  START OUTLET         : 0.08 sec
[09:47:47]  START OUTLET         : 0.13 sec
[09:47:47]  START OUTLET         : 0.07 sec
[09:47:47]  START OUTLET         : 0.11 sec
[09:47:48]  START OUTLET         : 0.08 sec
[09:47:48]  START OUTLET         : 0.14 sec
[09:47:48]  START OUTLET         : 0.07 sec
[09:47:48]  START OUTLET         : 0.12 sec
[09:47:48]  START OUTLET         : 0.08 sec
[09:47:48]  START OUTLET         : 0.13 sec
[09:47:48]  START OUTLET         : 0.07 sec
